Year,CanonicalCategory,Category,Film,FilmId,Nominees,Winner,Detail
2023,WRITING (Adapted Screenplay),Writing (Adapted Screenplay),American Fiction,tt23561236,Cord Jefferson,TRUE,
2023,WRITING (Adapted Screenplay),Writing (Adapted Screenplay),Barbie,tt1517268,"Greta Gerwig, Noah Baumbach",,
2023,WRITING (Adapted Screenplay),Writing (Adapted Screenplay),Oppenheimer,tt15398776,Christopher Nolan,,
2023,WRITING (Adapted Screenplay),Writing (Adapted Screenplay),Poor Things,tt14230458,Tony McNamara,,
2023,WRITING (Adapted Screenplay),Writing (Adapted Screenplay),The Zone of Interest,tt7160372,Jonathan Glazer,,
2023,WRITING (Original Screenplay),Writing (Original Screenplay),Anatomy of a Fall,tt17009710,"Screenplay - Justine Triet, Arthur Harari",TRUE,
2023,WRITING (Original Screenplay),Writing (Original Screenplay),The Holdovers,tt14849194,David Hemingson,,
2023,WRITING (Original Screenplay),Writing (Original Screenplay),Maestro,tt5535276,"Bradley Cooper, Josh Singer",,
2023,WRITING (Original Screenplay),Writing (Original Screenplay),May December,tt13651794,"Samy Burch, Alex Mechanik",,
2023,WRITING (Original Screenplay),Writing (Original Screenplay),Past Lives,tt13238346,Celine Song,,
2023,JEAN HERSHOLT HUMANITARIAN AWARD,Jean Hersholt Humanitarian Award,,,Michelle Satter,TRUE,
2023,HONORARY AWARD,Honorary Award,,,Angela Bassett,TRUE,
2023,HONORARY AWARD,Honorary Award,,,Mel Brooks,TRUE,
2023,HONORARY AWARD,Honorary Award,,,Carol Littleton,TRUE,
2023,SCIENTIFIC AND TECHNICAL AWARD (Scientific and Engineering Award),Scientific and Technical Award (Scientific and Engineering Award),,,"Charles Q. Robinson, Nicolas Tsingos, Christophe Chabanne, Mark Vinton, Dolby Laboratories",TRUE,
2023,SCIENTIFIC AND TECHNICAL AWARD (Scientific and Engineering Award),Scientific and Technical Award (Scientific and Engineering Award),,,"Steve Read, Barry Silverstein",TRUE,
2023,SCIENTIFIC AND TECHNICAL AWARD (Scientific and Engineering Award),Scientific and Technical Award (Scientific and Engineering Award),,,"Peter Janssens, Goran Stojmenovik, Wouter D’Oosterlinck",TRUE,
2023,SCIENTIFIC AND TECHNICAL AWARD (Scientific and Engineering Award),Scientific and Technical Award (Scientific and Engineering Award),,,"Michael Perkins, Gerwin Damberg, Trevor Davies, Martin J. Richards",TRUE,
2023,SCIENTIFIC AND TECHNICAL AWARD (Scientific and Engineering Award),Scientific and Technical Award (Scientific and Engineering Award),,,"Ken Museth, Peter Cucka, Mihai Aldén",TRUE,
2023,SCIENTIFIC AND TECHNICAL AWARD (Scientific and Engineering Award),Scientific and Technical Award (Scientific and Engineering Award),,,Jaden Oh,TRUE,
2023,SCIENTIFIC AND TECHNICAL AWARD (Scientific and Engineering Award),Scientific and Technical Award (Scientific and Engineering Award),,,"F. Sebastian Grassia, Alex Mohr, Sunya Boonyatera, Brett Levin, Jeremy Cowles",TRUE,
2023,SCIENTIFIC AND TECHNICAL AWARD (Technical Achievement Award),Scientific and Technical Award (Technical Achievement Award),,,Bill Beck,TRUE,
2023,SCIENTIFIC AND TECHNICAL AWARD (Technical Achievement Award),Scientific and Technical Award (Technical Achievement Award),,,Gregory T. Niven,TRUE,
2023,SCIENTIFIC AND TECHNICAL AWARD (Technical Achievement Award),Scientific and Technical Award (Technical Achievement Award),,,"Yoshitaka Nakatsu, Yoji Nagao, Tsuyoshi Hirao, Tomonori Morizumi, Kazuma Kozuru",TRUE,
2023,SCIENTIFIC AND TECHNICAL AWARD (Technical Achievement Award),Scientific and Technical Award (Technical Achievement Award),,,"Arnold Peterson, Elia P. Popov, John Frazier",TRUE,
2023,SCIENTIFIC AND TECHNICAL AWARD (Technical Achievement Award),Scientific and Technical Award (Technical Achievement Award),,,Jon G. Belyeu,TRUE,
2023,SCIENTIFIC AND TECHNICAL AWARD (Technical Achievement Award),Scientific and Technical Award (Technical Achievement Award),,,"James Eggleton, Delwyn Holroyd",TRUE,
2023,SCIENTIFIC AND TECHNICAL AWARD (Technical Achievement Award),Scientific and Technical Award (Technical Achievement Award),,,"Jeff Lait, Dan Bailey, Nicholas Avramoussis",TRUE,
2023,SCIENTIFIC AND TECHNICAL AWARD (Technical Achievement Award),Scientific and Technical Award (Technical Achievement Award),,,"Oliver Castle, Marcus Schoo, Keith Lackey",TRUE,
2023,SCIENTIFIC AND TECHNICAL AWARD (Technical Achievement Award),Scientific and Technical Award (Technical Achievement Award),,,"Lucas Miller, Christopher Jon Horvath, Steve LaVietes, Joe Ardent",TRUE,
2024,ACTOR IN A LEADING ROLE,Actor in a Leading Role,The Brutalist,tt8999762,Adrien Brody,TRUE,László Tóth
2024,ACTOR IN A LEADING ROLE,Actor in a Leading Role,A Complete Unknown,tt11563598,Timothée Chalamet,,Bob Dylan
2024,ACTOR IN A LEADING ROLE,Actor in a Leading Role,Sing Sing,tt28479262,Colman Domingo,,Divine G
2024,ACTOR IN A LEADING ROLE,Actor in a Leading Role,Conclave,tt20215234,Ralph Fiennes,,Lawrence
2024,ACTOR IN A LEADING ROLE,Actor in a Leading Role,The Apprentice,tt8368368,Sebastian Stan,,Donald Trump
2024,ACTOR IN A SUPPORTING ROLE,Actor in a Supporting Role,Anora,tt28607951,Yura Borisov,,Igor
2024,ACTOR IN A SUPPORTING ROLE,Actor in a Supporting Role,A Real Pain,tt21823606,Kieran Culkin,TRUE,Benji Kaplan
2024,ACTOR IN A SUPPORTING ROLE,Actor in a Supporting Role,A Complete Unknown,tt11563598,Edward Norton,,Pete Seeger
2024,ACTOR IN A SUPPORTING ROLE,Actor in a Supporting Role,The Brutalist,tt8999762,Guy Pearce,,Harrison Leo Van Buren Sr.
2024,ACTOR IN A SUPPORTING ROLE,Actor in a Supporting Role,The Apprentice,tt8368368,Jeremy Strong,,Roy Cohn
2024,ACTRESS IN A LEADING ROLE,Actress in a Leading Role,Wicked,tt1262426,Cynthia Erivo,,Elphaba
2024,ACTRESS IN A LEADING ROLE,Actress in a Leading Role,Emilia Pérez,tt20221436,Karla Sofía Gascón,,Emilia/Manitas
